"Source:","C:\Users\Walter\Documents\GitHub\KosmoPulse\KosmoPulseMain\KosmoPulseMain.kicad_sch"
"Date:","6/18/2022 10:31:18 AM"
"Tool:","Eeschema (6.0.5)"
"Generator:","C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","47"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","SKU","Vendor"
"","","C1","100n","ao_symbols:C","ao_tht:C_Disc_D3.0mm_W1.6mm_P2.50mm","","","Tayda"
"","","D1","LED7","ao_symbols:LED_green","ao_tht:LED_D5.0mm","~","A-1553","Tayda"
"","","D2","LED4","ao_symbols:LED_green","ao_tht:LED_D5.0mm","~","A-1553","Tayda"
"","","D3","LED2","ao_symbols:LED_green","ao_tht:LED_D5.0mm","~","A-1553","Tayda"
"","","D4","LED1","ao_symbols:LED_green","ao_tht:LED_D5.0mm","~","A-1553","Tayda"
"","","D5","LED3","ao_symbols:LED_green","ao_tht:LED_D5.0mm","~","A-1553","Tayda"
"","","D6","LED6","ao_symbols:LED_green","ao_tht:LED_D5.0mm","~","A-1553","Tayda"
"","","D7","LED5","ao_symbols:LED_green","ao_tht:LED_D5.0mm","~","A-1553","Tayda"
"","","D8","LED12","ao_symbols:LED_green","ao_tht:LED_D5.0mm","~","A-1553","Tayda"
"","","D9","LED24","ao_symbols:LED_green","ao_tht:LED_D5.0mm","~","A-1553","Tayda"
"","","D10","LED1247","ao_symbols:LED_green","ao_tht:LED_D5.0mm","~","A-1553","Tayda"
"","","D11","LED47","ao_symbols:LED_green","ao_tht:LED_D5.0mm","~","A-1553","Tayda"
"","","J1","OUT6","ao_symbols:AudioJack2","ao_tht:Jack_6.35mm_PJ_629HAN","~","A-1121","Tayda"
"","","J2","OUT4","ao_symbols:AudioJack2","ao_tht:Jack_6.35mm_PJ_629HAN","~","A-1121","Tayda"
"","","J3","OUT2","ao_symbols:AudioJack2","ao_tht:Jack_6.35mm_PJ_629HAN","~","A-1121","Tayda"
"","","J4","OUT1","ao_symbols:AudioJack2","ao_tht:Jack_6.35mm_PJ_629HAN","~","A-1121","Tayda"
"","","J5","OUT3","ao_symbols:AudioJack2","ao_tht:Jack_6.35mm_PJ_629HAN","~","A-1121","Tayda"
"","","J6","OUT7","ao_symbols:AudioJack2","ao_tht:Jack_6.35mm_PJ_629HAN","~","A-1121","Tayda"
"","","J7","OUT5","ao_symbols:AudioJack2","ao_tht:Jack_6.35mm_PJ_629HAN","~","A-1121","Tayda"
"","","J8","1247","ao_symbols:AudioJack2","ao_tht:Jack_6.35mm_PJ_629HAN","~","A-1121","Tayda"
"","","J9","OUT47","ao_symbols:AudioJack2","ao_tht:Jack_6.35mm_PJ_629HAN","~","A-1121","Tayda"
"","","J10","OUT12","ao_symbols:AudioJack2","ao_tht:Jack_6.35mm_PJ_629HAN","~","A-1121","Tayda"
"","","J11","OUT24","ao_symbols:AudioJack2","ao_tht:Jack_6.35mm_PJ_629HAN","~","A-1121","Tayda"
"","","PULSES1","MA08-2","Connector_Generic:Conn_02x08_Odd_Even","Connector_IDC:IDC-Header_2x08_P2.54mm_Vertical","~","",""
"","","R1","1K","ao_symbols:R","ao_tht:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","","","Tayda"
"","","R2","1K","ao_symbols:R","ao_tht:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","","","Tayda"
"","","R3","1K","ao_symbols:R","ao_tht:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","","","Tayda"
"","","R4","1K","ao_symbols:R","ao_tht:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","","","Tayda"
"","","R5","1K","ao_symbols:R","ao_tht:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","","","Tayda"
"","","R6","1K","ao_symbols:R","ao_tht:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","","","Tayda"
"","","R7","2K","ao_symbols:R","ao_tht:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","","","Tayda"
"","","R8","2K","ao_symbols:R","ao_tht:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","","","Tayda"
"","","R9","2K","ao_symbols:R","ao_tht:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","","","Tayda"
"","","R10","2K","ao_symbols:R","ao_tht:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","","","Tayda"
"","","R11","2K","ao_symbols:R","ao_tht:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","","","Tayda"
"","","R12","2K","ao_symbols:R","ao_tht:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","","","Tayda"
"","","R13","1K","ao_symbols:R","ao_tht:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","","","Tayda"
"","","R14","2K","ao_symbols:R","ao_tht:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","","","Tayda"
"","","R15","1K","ao_symbols:R","ao_tht:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","","","Tayda"
"","","R16","1K","ao_symbols:R","ao_tht:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","","","Tayda"
"","","R17","1K","ao_symbols:R","ao_tht:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","","","Tayda"
"","","R18","1K","ao_symbols:R","ao_tht:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","","","Tayda"
"","","R19","2K","ao_symbols:R","ao_tht:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","","","Tayda"
"","","R20","2K","ao_symbols:R","ao_tht:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","","","Tayda"
"","","R21","2K","ao_symbols:R","ao_tht:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","","","Tayda"
"","","R22","2K","ao_symbols:R","ao_tht:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","","","Tayda"
"","","U1","4081","4xxx:4081","ao_tht:DIP-14_W7.62mm_Socket_LongPads","http://www.intersil.com/content/dam/Intersil/documents/cd40/cd4073bms-81bms-82bms.pdf","",""



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","SKU","Vendor"
"1","1","C1","100n","ao_symbols:C","ao_tht:C_Disc_D3.0mm_W1.6mm_P2.50mm","","","Tayda"
"2","1","D1","LED7","ao_symbols:LED_green","ao_tht:LED_D5.0mm","~","A-1553","Tayda"
"3","1","D2","LED4","ao_symbols:LED_green","ao_tht:LED_D5.0mm","~","A-1553","Tayda"
"4","1","D3","LED2","ao_symbols:LED_green","ao_tht:LED_D5.0mm","~","A-1553","Tayda"
"5","1","D4","LED1","ao_symbols:LED_green","ao_tht:LED_D5.0mm","~","A-1553","Tayda"
"6","1","D5","LED3","ao_symbols:LED_green","ao_tht:LED_D5.0mm","~","A-1553","Tayda"
"7","1","D6","LED6","ao_symbols:LED_green","ao_tht:LED_D5.0mm","~","A-1553","Tayda"
"8","1","D7","LED5","ao_symbols:LED_green","ao_tht:LED_D5.0mm","~","A-1553","Tayda"
"9","1","D8","LED12","ao_symbols:LED_green","ao_tht:LED_D5.0mm","~","A-1553","Tayda"
"10","1","D9","LED24","ao_symbols:LED_green","ao_tht:LED_D5.0mm","~","A-1553","Tayda"
"11","1","D10","LED1247","ao_symbols:LED_green","ao_tht:LED_D5.0mm","~","A-1553","Tayda"
"12","1","D11","LED47","ao_symbols:LED_green","ao_tht:LED_D5.0mm","~","A-1553","Tayda"
"13","1","J1","OUT6","ao_symbols:AudioJack2","ao_tht:Jack_6.35mm_PJ_629HAN","~","A-1121","Tayda"
"14","1","J2","OUT4","ao_symbols:AudioJack2","ao_tht:Jack_6.35mm_PJ_629HAN","~","A-1121","Tayda"
"15","1","J3","OUT2","ao_symbols:AudioJack2","ao_tht:Jack_6.35mm_PJ_629HAN","~","A-1121","Tayda"
"16","1","J4","OUT1","ao_symbols:AudioJack2","ao_tht:Jack_6.35mm_PJ_629HAN","~","A-1121","Tayda"
"17","1","J5","OUT3","ao_symbols:AudioJack2","ao_tht:Jack_6.35mm_PJ_629HAN","~","A-1121","Tayda"
"18","1","J6","OUT7","ao_symbols:AudioJack2","ao_tht:Jack_6.35mm_PJ_629HAN","~","A-1121","Tayda"
"19","1","J7","OUT5","ao_symbols:AudioJack2","ao_tht:Jack_6.35mm_PJ_629HAN","~","A-1121","Tayda"
"20","1","J8","1247","ao_symbols:AudioJack2","ao_tht:Jack_6.35mm_PJ_629HAN","~","A-1121","Tayda"
"21","1","J9","OUT47","ao_symbols:AudioJack2","ao_tht:Jack_6.35mm_PJ_629HAN","~","A-1121","Tayda"
"22","1","J10","OUT12","ao_symbols:AudioJack2","ao_tht:Jack_6.35mm_PJ_629HAN","~","A-1121","Tayda"
"23","1","J11","OUT24","ao_symbols:AudioJack2","ao_tht:Jack_6.35mm_PJ_629HAN","~","A-1121","Tayda"
"24","1","PULSES1","MA08-2","Connector_Generic:Conn_02x08_Odd_Even","Connector_IDC:IDC-Header_2x08_P2.54mm_Vertical","~","",""
"25","11","R1, R2, R3, R4, R5, R6, R13, R15, R16, R17, R18","1K","ao_symbols:R","ao_tht:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","","","Tayda"
"26","11","R7, R8, R9, R10, R11, R12, R14, R19, R20, R21, R22","2K","ao_symbols:R","ao_tht:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","","","Tayda"
"27","1","U1","4081","4xxx:4081","ao_tht:DIP-14_W7.62mm_Socket_LongPads","http://www.intersil.com/content/dam/Intersil/documents/cd40/cd4073bms-81bms-82bms.pdf","",""
